iter	MultiClass
0	1.09282258
1	1.086767542
2	1.080922879
3	1.075457971
4	1.070028153
5	1.065550945
6	1.060785015
7	1.056273217
8	1.052332894
9	1.048500373
10	1.04458729
11	1.041554498
12	1.038153789
13	1.035246233
14	1.032395935
15	1.02943484
16	1.026715615
17	1.024077513
18	1.021807983
19	1.019476506
20	1.01724932
21	1.015329195
22	1.013393986
23	1.011388919
24	1.009791608
25	1.007996278
26	1.006477089
27	1.005042895
28	1.003718662
29	1.002465578
30	1.00115293
31	0.9997458716
32	0.9984858667
33	0.9975021855
34	0.9964672134
35	0.9954039326
36	0.994298557
37	0.9932557213
38	0.992517948
39	0.9914056415
40	0.9905302948
41	0.9895365223
42	0.988691658
43	0.9878192105
44	0.9871589438
45	0.9865003905
46	0.9858369709
47	0.9851505288
48	0.9846323408
49	0.9841225346
50	0.9836153277
51	0.9830503005
52	0.9825517692
53	0.9820314923
54	0.9816236696
55	0.9810353571
56	0.9806774949
57	0.98027741
58	0.9797105209
59	0.9793704446
60	0.9788686347
61	0.9785937522
62	0.9782854266
63	0.9779673897
64	0.9776638793
65	0.9773543231
66	0.9769778153
67	0.9765702756
68	0.9763099719
69	0.9760764746
70	0.9758219509
71	0.975332466
72	0.9749085177
73	0.9744721517
74	0.9742001948
75	0.9739894292
76	0.9737726444
77	0.9732970899
78	0.9728336124
79	0.9725963683
80	0.9722489371
81	0.9718696379
82	0.9717522971
83	0.9716042231
84	0.9714505783
85	0.9712147215
86	0.9708202983
87	0.9705888342
88	0.9703636182
89	0.9701848699
90	0.9698511869
91	0.9697121329
92	0.9696095308
93	0.9694486679
94	0.9690875782
95	0.9689352323
96	0.9688267427
97	0.9686563823
98	0.9684800392
99	0.9683856996
100	0.9682550903
101	0.9681387225
102	0.9680155376
103	0.9676621858
104	0.9675470427
105	0.967459937
106	0.9672806587
107	0.967159469
108	0.9670338842
109	0.9668476212
110	0.9667077869
111	0.9665238099
112	0.9663393518
113	0.9659214604
114	0.9656958115
115	0.9653985937
116	0.9651980969
117	0.9650713916
118	0.9647737418
119	0.9647526175
120	0.9646638985
121	0.9645942839
122	0.9645108347
123	0.9643731805
124	0.9640141333
125	0.9639788117
126	0.9638920298
127	0.9637319811
128	0.9636182604
129	0.9634830783
130	0.9633793116
131	0.9632967424
132	0.9631469827
133	0.9630104024
134	0.9629323795
135	0.9628279113
136	0.9626932411
137	0.9624397203
138	0.9623819908
139	0.9622331446
140	0.962153065
141	0.9621210084
142	0.9619904369
143	0.9617703395
144	0.9617287142
145	0.9615897277
146	0.9615263272
147	0.9614489046
148	0.9613200937
149	0.9611833984
150	0.9610968138
151	0.9609830065
152	0.9608672821
153	0.9606936396
154	0.960648848
155	0.96060837
156	0.9605191503
157	0.9600604276
158	0.9600112953
159	0.9597652853
160	0.9596053078
161	0.9595320671
162	0.9594701088
163	0.9594442237
164	0.959385988
165	0.9592299585
166	0.9591909215
167	0.9591260007
168	0.9589923286
169	0.9587804232
170	0.9587349
171	0.9586282296
172	0.9585840675
173	0.9585273371
174	0.9581363215
175	0.9580156212
176	0.957822933
177	0.9577460163
178	0.9576569615
179	0.9574427951
180	0.9572576364
181	0.9571883397
182	0.9571040706
183	0.9570249665
184	0.9569688431
185	0.9567714869
186	0.9566098775
187	0.9565991832
188	0.9565476594
189	0.9564806578
190	0.9564371799
191	0.9561420451
192	0.9561058937
193	0.956014337
194	0.9559074129
195	0.9557003358
196	0.9556310921
197	0.9555687175
198	0.9554970606
199	0.9552390225
